pop,comm,trad,middle,gini,spread,violence,intensity
833,11.7,82.3,81.7,0.42,4,1,-1.81
645,25.6,80.1,68.4,0.26,4,1,-1.81
629,27.6,79.3,16.9,0.66,46,1,1.9
839,25.8,82.2,10.9,0.68,14,1,-0.93
1376,15.2,87.3,10.8,0.42,15,1,-0.84
953,8.9,85.6,9.5,0.58,16,1,-0.75
612,17.2,84.5,9,0.7,15,1,-0.84
727,24.1,83.5,8.4,0.74,7,1,-1.55
1303,12.5,83.8,7.2,0.5,5,1,-1.72
1058,41.9,89.7,6.6,0.66,25,4,2.83
948,20.4,82.4,6.3,0.64,15,1,-0.84
797,22,88.3,6.2,0.7,19,1,-0.48
1340,13.8,86.2,6.2,0.6,9,1,-1.37
1472,24.2,84.9,6.1,0.62,7,1,-1.55
1510,33.9,85.5,5.8,0.7,12,1,-1.1
1417,47.7,87.6,5.2,0.58,33,3,2.61
863,21.5,81.5,5.2,0.6,26,1,0.13
2415,45.1,85.5,5.1,0.64,36,4,3.8
980,11.6,82.6,5.1,0.52,19,1,-0.48
1789,39.3,85.6,4.9,0.6,13,3,0.84
753,19.5,87.5,4.8,0.68,22,1,-0.22
1344,36.5,78.1,4.3,0.72,11,1,-1.19
1543,48.2,91,4.2,0.7,42,4,4.33
955,30.5,80.2,4.1,0.76,32,2,1.59
1488,46,90.5,3.7,0.68,36,4,3.8
796,6.8,76.3,3.6,0.58,9,1,-1.36
1084,18.6,90.1,3.4,0.74,23,1,-0.13
1039,20.4,86.7,2.9,0.72,32,1,0.67
1560,28.6,84.2,2.9,0.58,11,1,-1.19
1890,25.4,83.2,2.5,0.68,13,1,-1.02
2004,40.9,84.4,2.3,0.64,15,1,-0.84
680,30.6,76.1,1.3,0.76,19,1,-0.48
