country,decommod,liberlism,exprtdim,feduntdim
AUL,13,10,-.73000002,1.63
AUT,31.1,4,.43000001,1.0700001
BEL,32.400002,4,1.14,.1
CAN,22,12,-1,1.73
DEN,38.099998,6,1.3099999,-.34
FIN,29.200001,4,1.58,-.82999998
FRA,27.5,8,-.86000001,-.22
GER,27.700001,6,.77999997,2.4100001
IRE,23.299999,2,.17,-.41999999
ITA,24.1,6,1.12,-.38999999
JPN,27.1,10,.60000002,.17
NET,32.400002,8,1.34,.30000001
NOR,38.299999,0,.80000001,-.66000003
NZ,17.1,2,-.47,-1.67
SWE,39.099998,0,.79000002,-1.03
SWI,29.799999,12,1.72,1.46
UK,23.4,6,-1.09,-1.0599999
US,13.8,12,-.67000002,2.25
