state_fips,state_name,avg_nom1_111,avg_nom2_111,avg_nom1_112,avg_nom2_112,nom1_change,nom2_change,incumbent,challenger,state_orgs,state_rallies,state_totalvotes2010,state_repvotes2010,state_demvotes2010,state_othervotes2010,state_reppct2010,state_totalvotes2004,state_repvotes2004,state_demvotes2004,state_othervotes2004,state_reppct2004,state_totalvotes2006,state_repvotes2006,state_demvotes2006,state_othervotes2006,state_reppct2006,state_lastrelectpct,state_totalpop,state_blackpop,state_pctblack,state_25pop,state_badegree,state_pctba,endorsement,orgsperperson,ralliesperperson,tp_pwin_eloss,capita_100000,orgspercapita,ralliespercapita,primary_name,tpe_primary_vote,total_primary_vote,pct_tp_primary,num_cand,pop_millions,rallies_million,orgs_million,r_context,r_2010_win
1,"Alabama",.5145,.0315,.5175,-.005,.003,-.0365,1,0,51,8,1485499,968181,515619,1699,65.17548,1839066,1242200,595018,1848,67.54516,,,,,,67.54516,4633360,1209938,26.11362,3049663,656698,21.53346,1,.000011,1.73e-06,0,46.3336,1.100713,.1726609,"Shelby, Richard C. *",405398,480588,84.35458,2,4.63336,1.726609,11.00713,1,1
4,"Arizona",.4825,-.9625,.482,-.998,-.0005,-.0355,1,0,85,15,1708484,1005615,592011,110858,58.86008,1961677,1505372,404507,51798,76.73904,,,,,,76.73904,6324865,227282,3.593468,4062351,1044832,25.71988,1,.0000134,2.37e-06,0,63.24865,1.343902,.2371592,"McCain, John Sidney III*",333744,593301,56.25205,3,6.324865,2.371592,13.43902,1,1
5,"Arkansas",-.1915,.474,.1215,.3965,.313,-.0775,0,1,35,1,779957,451618,288156,40183,57.90294,1039349,458036,580973,128,44.06951,,,,,,44.06951,2838143,439355,15.48037,1865765,353398,18.94118,1,.0000123,3.52e-07,0,28.38143,1.233201,.0352343,"Boozman, John",75010,142260,52.7274,8,2.838143,.3523431,12.33201,0,1
6,"California",-.421,-.1495,-.424,-.1685,-.003,-.019,0,1,240,40,9999860,4217386,5218137,564337,42.17445,12100000,4555922,6955728,297799,37.79815,,,,,,37.79815,36300000,2249404,6.19525,23200000,6906266,29.74375,1,6.61e-06,1.10e-06,0,363.0853,.6610017,.110167,"Fiorina, Carly",1315429,2334042,56.35841,5,36.3,1.101928,6.61157,0,0
8,"Colorado",-.266,.096,-.266,.096,0,0,0,1,53,11,1772286,822731,851590,97965,46.42202,1434663,691709,711792,18095,48.21404,,,,,,48.21404,4843211,186598,3.852775,3155677,1118768,35.45255,1,.0000109,2.27e-06,1,48.43211,1.094315,.2271221,"Buck, Ken",211099,409330,51.57184,2,4.843211,2.27122,10.94315,0,0
9,"Connecticut",-.349,-.2785,-.3515,-.168,-.0025,.1105,0,1,54,8,1152391,498341,636040,18010,43.24409,1424726,457749,945347,9188,32.12891,,,,,,32.12891,3494487,330186,9.448769,2344192,821751,35.05476,1,.0000155,2.29e-06,0,34.94487,1.545291,.228932,"McMahon, Linda E.",60479,122271,49.46308,3,3.494487,2.28932,15.45291,0,0
12,"Florida",.1503333,-.036,.185,.1035,.0346667,.1395,0,1,160,33,3803557,2645743,1092936,64878,69.55971,7429894,3672864,3590201,187,49.4336,,,,,,49.4336,18200000,2799699,15.36403,12500000,3206182,25.58339,1,8.78e-06,1.81e-06,1,182.2242,.8780392,.1810956,"Rubio, Marco",1069936,1264442,84.61725,3,18.2,1.813187,8.791208,1,1
13,"Georgia",.499,.074,.504,.0735,.005,-.0005,1,0,148,24,2555258,1489904,996516,68838,58.30738,3220981,1864202,1287690,38,57.87684,,,,,,57.87684,9497667,2818524,29.67596,6031157,1635481,27.1172,1,.0000156,2.53e-06,0,94.97667,1.558277,.2526936,"Isakson, Johnny *",558298,558298,100,1,9.497667,2.526936,15.58277,1,1
15,"Hawaii",-.4075,.181,-.411,.1815,-.0035,.0005,1,0,12,2,370506,79924,277167,13415,21.57158,414936,87121,313287,5267,20.99625,,,,,,20.99625,1280163,30995,2.421176,865449,252603,29.18751,0,9.37e-06,1.56e-06,0,12.80163,.9373806,.1562301,"0",0,0,0,0,1.280163,1.562301,9.373806,0,0
16,"Idaho",.5955,.3735,.6075,.3955,.012,.022,1,0,9,5,449530,319953,112057,17520,71.175,503932,499796,0,0,99.17925,,,,,,99.17925,1492573,9030,.6049955,926767,220105,23.74977,1,6.03e-06,3.35e-06,0,14.92573,.6029856,.334992,"Crapo, Michael D. *",127332,160482,79.34348,2,1.492573,3.34992,6.029856,1,1
