statefips,countyfips,county,state,tporgs,tprallies,totalpop,lnpop,pctevang,pctcath,gini,racialsegregationindex,whitepop,pctwhite,blackpop,pctblack,latinopop,pctlatino,popover25,atleastBA25,pctBA25,pctemp,unemployedcivilian,pctunemp,medianfamincome,tot100kover,pct100kover,totalvote2008,repvote2008,demvote2008,othervote2008,reppct2008,dempct2008,otherpct2008,polheterogeneity2008
12,5,Bay County,Florida,0,2,163451,12.00427,64.774,11.429,0.424,0.446,134798,82.469976,18529,11.336119,5869,3.590679,110534,22273,20.150361,93.559769,5129,6.440231,54774,9341,13.610269,81127,56683,23653,791,69.869464,29.155522,0.975014,0.4267263
12,7,Bradford County,Florida,0,0,28841,10.26955,82.79,1.621,0.422,0.409,21704,75.253979,5863,20.328699,851,2.950661,19960,2038,10.210421,92.006008,958,7.993992,47780,789,9.299859,11676,8136,3430,110,69.681398,29.376499,0.942103,0.4280637
12,123,Taylor County,Florida,1,0,20723,9.938999,85.851,4.088,0.438,0.527,15641,75.476524,4445,21.449597,467,2.253535,13988,1502,10.737775,88.716299,1017,11.283701,45164,703,9.9378,9366,6457,2803,106,68.94085,29.927397,1.131753,0.4350229
12,61,Indian River County,Florida,2,1,131811,11.78912,23.958,52.525,0.517,0.488,115407,87.554908,10946,8.304315,12652,9.598592,97072,25696,26.471073,91.34031,5172,8.65969,56501,10689,17.972862,70591,40176,29710,705,56.913771,42.087518,0.998711,0.4988466
12,57,Hillsborough County,Florida,9,3,1167116,13.97005,38.193,39.797,0.464,0.396,872763,74.779456,187993,16.107482,260297,22.302582,765416,219295,28.650433,92.763803,44156,7.236197,59879,85644,18.791304,513312,236355,272963,3994,46.045095,53.17682,0.778084,0.505147
12,9,Brevard County,Florida,5,0,532697,13.18571,31.794,42.81,0.439,0.397,449678,84.415343,50905,9.556089,36273,6.809312,381023,100674,26.422027,92.871994,18136,7.128006,60285,37094,16.946799,287859,157589,127620,2650,54.745205,44.334205,0.92059,0.5036593
12,85,Martin County,Florida,2,0,138791,11.84072,14.835,59.351,0.511,0.523,121866,87.805405,8121,5.851244,13969,10.064774,103750,29619,28.548434,92.162561,4989,7.837439,67925,13322,22.995529,78294,44143,33508,643,56.381076,42.79766,0.821263,0.498886
12,87,Monroe County,Florida,1,0,74024,11.21214,25.237,55.623,0.505,0.489,66304,89.57095,4249,5.74003,13683,18.484546,57079,16330,28.609471,95.825992,1682,4.174008,67994,6997,22.69469,40272,18933,20907,432,47.012813,51.914482,1.072706,0.5093531
12,23,Columbia County,Florida,2,0,67397,11.11836,64.708,12.571,0.426,0.378,52982,78.611808,11462,17.006692,2666,3.955666,44933,6502,14.470434,89.440356,3085,10.559644,46174,2206,9.849973,28128,18670,9171,287,66.375142,32.604522,1.020336,0.4530244
12,95,Orange County,Florida,8,3,1062344,13.87599,43.273,32.908,0.45,0.388,690149,64.964738,207076,19.492368,259505,24.427587,686217,203323,29.629549,92.272939,45049,7.727061,57738,71739,18.309733,462711,186832,273009,2870,40.377687,59.002055,0.620258,0.4888015
