CELTIC,SCOTLN,WALES,UNEMPL,MINMAN,MANUAL,NONMAN,ROOMPC,CARSPC,UNSKLL,PROFSS,EMPMAN,PERSWK,OWNHOM,WCLLAB,MCLCON,LABR66,LABR70,CONS66,CONS70
0,0,0,.055,.625,.826,.149,1.436,.054,.184,.013,.030,.188,.115,.622,.560,.770,.710,.220,.220
0,0,0,.024,.713,.794,.200,1.610,.111,.104,.027,.051,.222,.342,.648,.573,.730,.710,.270,.290
0,0,0,.028,.620,.714,.276,1.592,.128,.081,.043,.072,.258,.332,.685,.611,.710,.670,.290,.330
0,0,0,.007,.293,.531,.292,1.724,.220,.048,.045,.131,.157,.486,.286,.829,.240,.260,.570,.630
0,0,0,.005,.680,.653,.344,1.757,.155,.061,.057,.115,.188,.645,.418,.706,.440,.410,.330,.410
0,0,0,.012,.742,.809,.181,1.584,.111,.096,.022,.060,.291,.371,.711,.644,.780,.750,.220,.250
0,0,0,.005,.605,.634,.362,1.869,.172,.058,.052,.130,.143,.483,.445,.667,.540,.460,.460,.470
0,0,0,.005,.754,.759,.235,1.618,.151,.071,.039,.077,.196,.365,.613,.624,.620,.580,.230,.280
0,0,0,.010,.629,.683,.294,1.806,.146,.068,.032,.068,.177,.434,.516,.737,.580,.510,.420,.390
0,0,0,.023,.686,.743,.249,1.720,.180,.098,.032,.089,.166,.398,.519,.727,.520,.480,.360,.420
0,0,0,.006,.670,.665,.330,1.788,.201,.054,.060,.105,.188,.592,.445,.763,.530,.490,.470,.510
0,0,0,.005,.560,.685,.268,1.791,.194,.080,.039,.088,.192,.486,.373,.718,.460,.460,.460,.540
0,0,0,.010,.425,.627,.304,1.880,.222,.068,.040,.122,.227,.530,.468,.753,.370,.330,.500,.550
0,0,0,.017,.463,.743,.246,1.596,.116,.156,.014,.061,.184,.234,.560,.587,.670,.630,.260,.320
0,0,0,.007,.509,.641,.326,1.619,.146,.123,.047,.084,.169,.262,.536,.628,.650,.570,.350,.360
0,0,0,.004,.578,.646,.347,1.843,.178,.065,.041,.106,.161,.598,.514,.579,.590,.490,.410,.440
0,0,0,.008,.419,.525,.456,1.645,.163,.062,.065,.118,.127,.278,.496,.716,.480,.480,.420,.450
0,0,0,.005,.483,.551,.438,1.653,.192,.057,.070,.131,.123,.452,.520,.658,.450,.430,.450,.500
0,0,0,.007,.462,.532,.456,1.853,.174,.055,.058,.130,.122,.595,.405,.518,.390,.380,.450,.500
0,0,0,.007,.399,.448,.540,1.896,.194,.047,.100,.172,.115,.551,.431,.621,.320,.300,.500,.530
0,0,0,.008,.578,.720,.273,1.509,.170,.134,.021,.075,.203,.394,.498,.739,.610,.560,.270,.350
0,0,0,.012,.456,.688,.298,1.651,.128,.099,.029,.086,.170,.442,.425,.667,.510,.430,.490,.490
0,0,0,.012,.426,.468,.521,1.886,.192,.044,.062,.173,.110,.682,.379,.748,.270,.250,.510,.600
0,0,0,.006,.572,.655,.319,1.692,.179,.093,.045,.106,.175,.549,.398,.600,.500,.450,.420,.470
0,0,0,.006,.458,.525,.464,1.664,.249,.062,.058,.194,.132,.476,.478,.759,.410,.400,.470,.600
0,0,0,.009,.429,.646,.343,1.989,.185,.088,.034,.140,.176,.700,.330,.765,.350,.330,.470,.530
0,0,0,.006,.389,.530,.459,1.882,.218,.056,.078,.164,.149,.641,.330,.798,.280,.260,.540,.580
0,0,0,.005,.442,.599,.375,1.679,.219,.071,.060,.120,.155,.541,.373,.607,.380,.300,.450,.490
0,0,0,.011,.416,.584,.401,1.921,.217,.056,.052,.165,.163,.660,.416,.787,.280,.230,.550,.610
0,0,0,.008,.589,.625,.365,1.838,.179,.059,.037,.099,.145,.667,.447,.691,.540,.500,.460,.500
0,0,0,.011,.517,.702,.284,1.891,.206,.075,.039,.111,.239,.529,.328,.783,.390,.360,.440,.520
0,0,0,.006,.439,.619,.276,1.676,.206,.069,.037,.098,.188,.475,.360,.769,.390,.370,.450,.520
1,0,1,.033,.706,.804,.186,1.875,.099,.105,.019,.050,.235,.728,.771,.271,.840,.800,.080,.060
1,0,1,.022,.657,.743,.233,1.743,.151,.068,.030,.067,.215,.533,.699,.379,.710,.670,.150,.210
1,0,1,.016,.644,.748,.242,1.709,.167,.097,.030,.072,.214,.348,.603,.542,.580,.570,.250,.290
0,0,0,.008,.754,.811,.181,1.579,.110,.119,.020,.047,.221,.287,.470,.698,.610,.550,.390,.420
0,0,0,.009,.648,.724,.267,1.711,.154,.092,.044,.082,.208,.473,.345,.644,.430,.480,.450,.520
0,0,0,.008,.802,.765,.231,1.565,.162,.055,.040,.054,.226,.535,.522,.636,.610,.590,.300,.390
0,0,0,.007,.656,.731,.252,1.766,.163,.114,.029,.086,.168,.499,.452,.708,.500,.460,.500,.540
0,0,0,.004,.475,.592,.358,1.768,.256,.066,.059,.152,.187,.480,.339,.824,.300,.240,.510,.580
0,0,0,.012,.434,.581,.412,1.896,.140,.101,.055,.138,.144,.521,.481,.713,.460,.430,.540,.570
